P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;RS;30-34
0ei02mf5qxmda4g0ei02noz2n3ozbmns;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;ES;35-39
0es5j6zi3eta53c3alanv0es5j6zm7bp;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;55+
0etlg34j0c2aa5gxkx0etlgl5085l8cl;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;1;0;0;0;0;0;0;PR;25-29
0fqm46sjwi4favsmqvl0fqm46s98elu7;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0fy84aoyul0t71eaqln0fyfp4p5e8glp;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,5;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;RS;25-29
0g42rq6g6p2q873xia8y0g42x4n8upzt;0,0;0,0;0,0;1,0;0,5;0,0;0,0;0,0;0,5;0,0;0,0;0;0;0;1;0;0;0;0;0;0;0;PR;25-29
0gegw5q7g3lykqzh1jrvp0gegw55wg08;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;BA;22-24
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;RS;22-24
0gn3aonvi5bf7v0gditzg8sz142fxclo;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;MT;25-29
0gqoessq550geoi56otja8nxkzhl2yoe;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;30-34
0gxlcto118vdsq0gxlcaonsk0utw8n0y;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0;0;0;0;0;0;0;0;0;0;0;RJ;22-24
0h9s4p0a05whv290h9sq91aarxgafcha;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;RJ;25-29
